comment_no	user_id_no	contents	reg_time	sympathy_count	antipathy_count
1507845282		믿으면 안되는 북한정부	2018-10-31T14:45:14+0900	1	0
1507411282		전 세계 다니면서 비핵화 자기가 보증한다고 말하고 다니면서 만약에 비핵화 안 되면 정권 바뀌면 문재인이 사기죄로 반드시 형사처벌 해야 된다	2018-10-31T08:03:21+0900	2	0
1507398442		아니다 모른다 아는게없다 ~~외교부 너내는 국민꺼냐 문재인 갱꺼냐  정권 바뀐후를 대비하라. 데모꾼들 문빠 노ㅡ빠 뺀 촛불이 다시 켜지기 직전이다	2018-10-31T07:39:05+0900	1	0
1507395102		비건이 중단 요청 안했더라도 국민이 중단 요청하고있는데?	2018-10-31T07:32:37+0900	7	0
1507394472		찌질이 핫바지의 무한북사랑  국민이  중단시켜야할듯	2018-10-31T07:31:05+0900	1	0
1507390042		체널A는 북조선찌라시의 TV잖어?	2018-10-31T07:21:36+0900	0	0
1507389332		사진 속 왼쪽 남자는 한.. 5등신 되나?	2018-10-31T07:19:41+0900	0	0
1507384932		말끝마다 거짓말 ㅋㅋ 왜 그럼 정의용이 보다 북한 사랑 하시는 비서실장을 만났겠냐?	2018-10-31T07:08:01+0900	4	1
1507381722		망해가는 3대세습 독재정권을 존속케하는 남북대화는 중단해야 한다	2018-10-31T06:58:10+0900	4	0
1507376242		방송정지 시켜라  제일  쓸모없는 방송국이다	2018-10-31T06:42:06+0900	1	5
1507375202		또 뻥치네.. 그럼 또 가짜뉴스라는 얘기네. 말같은소릴해라. 정부가 아무리 해명해도 정황상 맞는 이야긴데. 국민을 우습게보지마라	2018-10-31T06:38:57+0900	13	0
1507371112		또 거짓말하네 야 니들은 거짓말쟁이라서 니들말은 안믿는다	2018-10-31T06:26:25+0900	0	0
1507371092		청와대 이자들은  김일성 주체사상  관련  도서를 탐독 했을것이다ㆍ	2018-10-31T06:26:21+0900	2	0
1507370762		안믿어	2018-10-31T06:24:58+0900	1	0
1507369022		무슨정부가 입만열면 거짓말이냐?	2018-10-31T06:19:37+0900	9	1
1507365052		사실이라면 Dog.JJ.팔리니 알아서 기라는 비건의 마지막 경고..	2018-10-31T06:07:28+0900	1	0
1507359962		사실과 다른 왜곡보도라면 강력하게 규제해라. 이런 방송들 때문에 주가가 폭락한다.  남북경협주 반쪽 됐다.	2018-10-31T05:48:55+0900	3	0
1507356992		사실이 아냐? 그럼 사실은 뭔데?	2018-10-31T05:36:55+0900	5	0
