comment_no	user_id_no	contents	reg_time	sympathy_count	antipathy_count
1508420092		허수아비...꼭두가시...조용히해	2018-10-31T22:46:41+0900	0	0
1505659592		누구보다 최순실에 놀아나던 박근혜를 곁에서 보며 잘 알던 사람이다.더욱이 한 자리하며 밥원 인사 마무리하고 청와대 문건 싹다 비밀문서화했었지	2018-10-29T13:36:25+0900	0	0
1505361252		ㅉㅉㅉ 이명박 닭그네가 10년동안 싼똥 치운다고 고생하는 문재인대통령님 욕하지마라 그리고 전라도 욕하는 놈들치고 제대로된놈들 없더라~ 악플 다는사람들 명예회손으로 제대로 조취합니다~~ 욕하지마세요 아직 민주당집권 2년밖에 안됬음!!	2018-10-29T07:09:12+0900	0	5
1505351972		난 미국에 살고있지만 문재인 요즘 하는꼴보면 내 나라가 걱정되고 죽여버리고싶다. 경제 다 말아먹고 북한에 못퍼줘서 안달인데다 외교 말아먹고 등신취급에 좋아서 싱글벙글 ㅜ 국격이 완전 떨어졌다.	2018-10-29T06:28:23+0900	11	1
1505350922		교화한 자식.. 국정농단에 눈감고 국격이 똥통에 들어갈 때 넌 뭐했니.	2018-10-29T06:21:55+0900	0	10
1505350812		서민들 다죽이고 세금으로 먹여살려?대한민국 이 공산당 이냐? 믄재앙 완전 멸족 시켜야한다.	2018-10-29T06:21:15+0900	8	1
1505349062		흐흐  니걱정이나 하게 황교활^^	2018-10-29T06:10:25+0900	2	21
1505348892		미친개 문재앙이가 돌아다니면서 동네 장독깨는 격임	2018-10-29T06:08:51+0900	7	0
1505348292		앞잡이가 뭐라는겨? 니가 말하는 경제정책 성공은 대기업과 기득권들 이익을 보장해주는 거겠지 ㅎㅎ	2018-10-29T06:05:04+0900	2	19
1505347702		황교안은 탄핵의 무책임자 힘있을 때 방관한 자 지도자는 아니다 문재앙과 맞장 뜬 홍준표다 홍준표는 문재인과 반대다 홍준표가 다 옳았다	2018-10-29T06:00:40+0900	8	9
1505346932		황교안이 지난 대선에 나왔어도 여론때문에 문재인이 되었을 것이다. 섣불리 안나오길 잘했지. 문재인이 나라 말아먹고 있으니 다음 대선은 가능성 높다.	2018-10-29T05:55:30+0900	28	3
1505346382		기다리는봐다ㅡㅡ구심점 역활해서 한국을  살리자ㅡㅡㅡ화이팅. 꿈을 이루자  ㅡㅡ건전한  한국국민들이여	2018-10-29T05:51:57+0900	10	1
1505345752		황총리 파이팅	2018-10-29T05:47:06+0900	5	3
1505345682		통진당 박살낸 이석기 감옥보낸  황교안  총리님을   대통령으로  추대합니다  문재인은 빨갱이 수괴  개  ㅈ  정은이  시다바리  ㆍ우리의 대통령은  황교안님	2018-10-29T05:46:36+0900	26	1
1505345562		충주시민여러분 반기문 사무총장을 밉시다.이러다가는 울충주 지랄납니다.  김진태의원 보세묘  춘천에서 계속밀잖아묘. 이런된장	2018-10-29T05:46:03+0900	2	4
1505345312		😃이것이 맞는 교안이요~~	2018-10-29T05:43:51+0900	4	1
1505344992		전두환 대통령	2018-10-29T05:40:22+0900	0	0
