comment_no	user_id_no	contents	reg_time	sympathy_count	antipathy_count
1572131624		문슬람들 ㅂㄷㅂㄷ ㅎㅎㅎ	2018-12-01T21:53:24+0900	1	0
1541673284		ㅎㅎ 육갑	2018-11-03T14:49:59+0900	0	2
1539646114		똥묻은 개가 겨묻은 개를 나무란다는 속담을 떠올립니다. 황교안 덕분에. 복습할 계기를 마련하니 좋습니다. 박근혜에 빌붙여서 의전 활동이나 했던 작자다며 다시 확인하니 신랄하게 웃습니다. 나라를 망치는데 가담한 부역자 주제에 나라를 다시 세우는 대인을 훼방한다. 이렇게 생각하니 황교안 자체부터 나쁜 인간으로 취급해 봅니다.	2018-11-01T13:20:01+0900	2	5
1539090794		기레기 이걸 보도라고!!!	2018-11-01T02:45:45+0900	0	0
1537680824		그러게 왜 홍준표 대신 나왔어야지!!!!!!!!!!!!!!!!!!!!!!!!1	2018-10-30T18:27:49+0900	0	0
1537432304		박그네 개가  나라 걱정   ㅋㅋㅋㅋㅋ   최순실 사식이나 넣어줘   쌩까지 말구   기회주위자 세기야	2018-10-30T12:54:51+0900	2	3
1537054884		양승태와 동급 털면 많이 나온다	2018-10-30T00:23:37+0900	2	2
1537047634		그저빛 ^^7	2018-10-30T00:11:58+0900	0	0
1537029894		이야..........살다살다 황교안 리더쉽이 기대된다는 말을 보다니 참........ 황교안이 누군지 잊었나보네 이인간들 ..............	2018-10-29T23:42:31+0900	2	3
1537012364		포스는 대통령 포스인데...ㅋㅋ	2018-10-29T23:18:52+0900	2	1
1536957834		저놈은 박근혜의 수하잖아. 철면피냐?	2018-10-29T22:18:37+0900	5	4
1536936194		문슬람들 총 비상령 떨어짐 여기서 방어선 구축중 ㅋㅋㅋ 시발 드루킹이 아직도 안잡히고 있었으면 여기서 조작질 졸라했겠네	2018-10-29T21:54:01+0900	5	2
1536889114		절대적으로 지지합니다	2018-10-29T21:05:15+0900	2	0
1536783074		갓교안 최대업적: 통진당 해산	2018-10-29T18:44:46+0900	5	0
1536733974		요즘 제일 기대되는 정치인 황교안 이언주님아 제발 나라 좀 살려주세요ㅠ	2018-10-29T17:41:04+0900	4	3
1536703924		문완용이 손대는것마다 마이너스, 당신들 손으로 매국노 뽑아놓고 리플 이렇게 달리니 또 댓글공작하려하고, 정말 문재앙과 당신들은 역사가 심판할겁니다. 나라 다 말아먹고도 지금도 주제 모르고 그렇게 손가락 놀리고있는 사람들보면 똑같이 교육받았나 의심스러움.	2018-10-29T17:14:49+0900	5	0
1536640184		후안무치 [厚顔無恥]라는 말의 뜻을 모르는 군...	2018-10-29T16:21:42+0900	3	2
1536547364		나라가 재앙이다 북괴만 빠는 쑈통이 나라 망친다	2018-10-29T15:32:03+0900	3	1
1536496694		!!!!!!!!!	2018-10-29T15:02:35+0900	0	0
1536490664		ㅅㅂ 닭근혜보다 못하는걸 넘어서 처참한 수준일줄 누가 알았겠어...	2018-10-29T15:00:17+0900	6	0
1536436084		그렇게 망가뜨렸으면, 바로잡게 힘을 보태지는 못할지언정.....	2018-10-29T14:17:12+0900	4	1
1536423504		황교안이 있어서 그나마 다음대에 희망이 보인다. 그전에 돌이킬수 없을정도로 망하지만 않기를 바랄뿐..	2018-10-29T14:05:06+0900	8	1
1536419514		20대 대한민국대통령 황교안	2018-10-29T14:01:28+0900	9	1
1536411774		굿	2018-10-29T13:53:36+0900	1	0
1536389744		중앙을 믿나	2018-10-29T13:33:01+0900	0	2
1536389144		쓰렉이  자위당	2018-10-29T13:32:27+0900	0	2
1536380954		거봐 제대로 조사 안하고 적폐들을 가만 놔두니 이런것들이 바로 돌아오잖아 ㅋ	2018-10-29T13:24:09+0900	2	1
1536363114		아직 머가리 덜깨진 문슬람들 개많네ㅋㅋㅋ 쟤들은 경제 폭망하고 문재인 때문에 세컨더리 보이콧 맞으면 미국이 잘못했다고 반미 선동할놈들임ㅋㅋㅋ 지금 경제도 이명박근혜 때문이라고 해라ㅋㅋ 세월호도 박근혜 뇌파로 침몰시킨거지?	2018-10-29T13:01:51+0900	4	0
