comment_no	user_id_no	contents	reg_time	sympathy_count	antipathy_count
1538704994		동상이몽하는 선장 둘이서 뭐가 되겠냐 ㅋㅋ	2018-10-31T16:49:43+0900	0	0
1538067204		김정은 초청 생각만으로 행복하다 이거지. 쓰레기들	2018-10-31T03:12:16+0900	0	1
1538057724		그놈의고집~ 되지도 않는 "소득주도성장"고집때문에....!! 거리에 나가봐라~ 임대라고 써붇인 빈상가들을~  이래도 소득주도성장 노래냐???	2018-10-31T02:30:28+0900	6	1
1538043014		다필요없고 대통령 바까줘요 1년만에 참 잘말아드셔요   곳 세컨더리보이콧 드가죠  그건 가시적인거고 이미   보이지않는  재앙이  코리아 패싱이.  그저 사진기만 갖다대면  헤벌레..  어차피 다     사진 유리한부분만  짤라보도해주니까	2018-10-31T01:45:40+0900	3	0
1538040914		장하성은 교체로는 안됩니다! 국민기만죄! 교도소 가야!	2018-10-31T01:39:29+0900	1	0
1538011584		조국도   바까라    꼴보기싫다	2018-10-31T00:35:37+0900	6	0
1538010074		김동연은   소신이   있다   믿음이간다	2018-10-31T00:33:18+0900	2	0
1538009254		장하성이는      사형감이다   국민농란한죄     족속의   씨를  말려야한다       화염방사기로    날려버려야한다	2018-10-31T00:32:02+0900	8	0
1538005154		나라를 이 모양 이꼴로 만들고 사퇴하면 그만???	2018-10-31T00:25:38+0900	3	0
1538000004		등신같은 인간들	2018-10-31T00:17:33+0900	3	0
1537999924		장하성님 ㅠ ㅠ 힘들어하시니 너무 가슴이 아파요 ㅠ ㅠ 우리는 전혀 힘들지 않은데 이렇게 행복한데 장하성님 힘들다니 피눈물이 나네요 ㅠ. ㅠ  너무너무 고생 많으세요 .	2018-10-31T00:17:28+0900	2	4
1537998434		대 갈을 바꿔라 밑에꺼 바꿔봐야 소용없다 으이구	2018-10-31T00:15:13+0900	11	0
1537993594		양심이 있으면 불우이웃 돕기하도 하고 경질되어야지	2018-10-31T00:07:20+0900	1	0
1537965294		두사람다 물러나고 카이스트 이병태 교수님  모시고 와야합니다..1년전에 경제가 이럴거라고 예언했는데 완전 소름....	2018-10-30T23:33:21+0900	12	0
1537965134		뒤에서 조종하는 주사파색키와 앞에서 똥오줌 못가리는 치매새키를 쫓아내야쥐	2018-10-30T23:33:10+0900	12	0
1537963034		구멍난 보트로 항해 마무리 한다고? 될거같냐? 침몰하지	2018-10-30T23:30:52+0900	0	0
1537961514		그냥 청와대 를 바꾸는게 빠른거지  그놈이그놈이지	2018-10-30T23:29:23+0900	7	0
1537952784		소득이 줄고있는데 그넘의 소득 주도 성장?  성장은 개뿔 주가 다 떨어지고 개판치는 성장이 되냐? 맨날 상조같은시끼가 기업처 쥐짜고있지.. 대통령이라는 병,.ㅅ은 여기서도 북한 저기서도 북한 빨갱이 앞잡이 짖버리중인데..나라가 잘 되겠난	2018-10-30T23:18:57+0900	16	0
1537952244		임종석.	2018-10-30T23:18:19+0900	3	1
1537946474		저 둘이 일 하난 잘하나보네 흔들려고 얘쓰는거보니까	2018-10-30T23:11:22+0900	0	9
1537946044		능력 없으면 내려 가야지.. 모두  수장  될 때까지  기다리라는 겁니까? 연말되면  효과  나타날거라면서요? 대한민국이 마치 거대한  세월호를  보는듯  불안합니다 언제까지  기다리라고  할겁니까??!!!!	2018-10-30T23:10:56+0900	13	2
1537944504		장하성 바꾼다고 되남 . 문재인 임종석이 있는데....	2018-10-30T23:08:55+0900	14	1
1537943294		갈때까지 가보는거야 헤어나올수 없도록~~ 2년만에 최악으로 만들었는데~~ 더가보는거야 쭈~~욱	2018-10-30T23:07:31+0900	3	0
1537938894		청아대 넘들, 정치하는 넘들, 관료 넘들, 밥은 넘어가나~~~	2018-10-30T23:02:32+0900	10	0
1537938344		투톱  교체가아니라  윗대가리   치매와 주사파행동대장 기어내려와야  하는거 아니냐	2018-10-30T23:02:01+0900	15	1
1537937454		문재인 몸통을 교체해야지..꼬리만 자른다고 돼냐??? 문재인 하야해라..그게 싫다면..탄핵당해라.	2018-10-30T23:01:04+0900	15	0
1537937154		지금 랭면이  목구멍에 쳐 넘어가십네까?	2018-10-30T23:00:35+0900	6	0
1537935384		김장관 측은하다 어쩌다.....	2018-10-30T22:58:31+0900	0	0
1537930714		스스로 책임지고 물러나야 합니다 다시 대학으로 돌아가서 학문이나 연구하세요	2018-10-30T22:53:15+0900	4	0
