comment_no	user_id_no	contents	reg_time	sympathy_count	antipathy_count
1537514214		공군은 머하냐, 미사일 쏴서 날려버리지..f-15k 비행기 폼으로 가지고 있냐..	2018-10-30T14:44:28+0900	1	0
1537311044		댓글알바들아 공부 좀 하자. 기사 지도보면 한국은 육지에 겹치지 않고 비행기궤적이 그려져 있지만 일본은 "이키" 섬위를 당당히 중국비행기가 날아다녔지? 저게 무슨 뜻인지나 아냐? 한국은 방공망 침범이지만, 일본은 영공 침범이란 소리야. 그리고 방공망 침범은 기껏해야 경고밖에 못주지만, 영공침범은 미사일로 격추시켜야 하는 것이 국제법이야. 그걸 못하면 국제 호구란 소리고. 한국은 올해 6번 방공망 침범이지만 일본은 올해 영공 침범만 수십번이란다. 완전 대놓고 중국에게 호구 취급 당하고 있는거란다. 얼렁 중국vs일본 전쟁났으면 좋겠다	2018-10-30T10:37:30+0900	0	2
1537293224		우리편이 때리면 그냥 기자라도 맞고 항의하지마라. 쩝쩝쩝  우리편인데 내땅 니땅이 어딨노 ? 쩝쩝쩝.  우린  같은 편.  똥짱개는 큰나라. 조선은작은나라.쩝쩝쩝     똥짱개몽 함께 갑시다.   쩝쩝쩝   ㅋㅋ    이게  우리나라 현재 대통령.  김정은 문재인 습건평이 같은 편.  코메디다	2018-10-30T10:16:28+0900	1	1
1537289324		ㅡ모르면 그냥 있어요. 하늘을 잃으면 이어도도 잃는것. 문슬람들 진짜 적폐야. 몰라도 그냥 우기는건 좌파들다워. 반미는 잘하는데 왜 반짱개는 안할까나? 이데올로기로 한 편이라서 ? 부칸 문재인 짱개 공통점?	2018-10-30T10:12:09+0900	2	0
1537220524		원래 우리 카디즈는 북위 33도까지였음. 그걸 북위 31도까지 내린 건 박근혜 정부 때 한건데, 이유는 우리가 이어도로 헬기를 보낼 때마다 일본 자디즈 구역이라서 매번 일본에 통보하는 게 자존심이 상했기 때문. 그걸 ICAO의 FIR기준으로 우리 비행정보구역인 곳까지 일방적으로 내린 건데, 이건 사실 얼토당토 안함. 우리가 방공식별구역으로 정하기에는 너무 많이 내렸음. 북위 32도까지만 내렸어야 함. 우리가 카디즈를 내렸다고 일본에 통보하지 않는 것도 아님. 상호 통보중임.	2018-10-30T08:51:12+0900	0	2
1537214664		한미훈련 즉각 재개하고 제주도에 공군기지 건설하라!	2018-10-30T08:41:58+0900	2	0
1537213584		한미훈련 즉각 재개하라!	2018-10-30T08:40:13+0900	1	0
1537201884		문쩝  분명 이렇게 말하겠지! 경제가 이 지경인데 대중무역 위해 어쩔 수 없습니다. 중국은 대국  아닙니까?  정 이러시면 중국과 무역전쟁 하자는 겁니까?  ㅋㅋㅋ 이미 경제는 개폭망 했는디~	2018-10-30T08:21:12+0900	3	0
1537199654		격추하라. That's it!	2018-10-30T08:17:37+0900	2	0
1537199514		우리도 중국 방공식별구역에 군사작전 개시하라	2018-10-30T08:17:26+0900	2	0
1537198394		이게 나라지? 니들이 꿈꾼 평화? 이거 맞지?  무장해제한 이유는 이게 평화고 전쟁위협 없앤것이라는 니들 논리 틀렸다는 것 인정해라 좌빠리들아	2018-10-30T08:15:38+0900	6	0
1537197964		짱께네 우리도 침범하고 그래 OOO들아 눈에는 눈 이에는 이 재앙이의 외교는 맨날 정은이 똥꼬빨고 한라산에 쳐 올라가는거 밖에 없지	2018-10-30T08:14:54+0900	1	0
1537195994		중국한테는 구박당해 북한한테는 면박당해 미국한테는 압박당해 일본한테는 ??	2018-10-30T08:11:35+0900	2	0
